filepath,digits,indexnum,errornumrandomgroup1,errornumrandomgroup2,errornumrandomgroup3
hsf_4/f2385_83/d2385_83/d2385_83_00092.png,8,544,1,0,0
hsf_4/f2385_83/d2385_83/d2385_83_00036.png,5,568,3,1,2
hsf_4/f2527_72/d2527_72/d2527_72_00032.png,3,598,0,1,1
hsf_4/f2527_72/d2527_72/d2527_72_00064.png,5,604,4,9,7
hsf_4/f2527_72/d2527_72/d2527_72_00048.png,8,606,1,1,4
hsf_4/f2527_72/d2527_72/d2527_72_00094.png,7,611,0,1,4
hsf_4/f2527_72/d2527_72/d2527_72_00108.png,9,617,4,1,0
hsf_4/f2527_72/d2527_72/d2527_72_00105.png,8,627,6,6,10
hsf_4/f2527_72/d2527_72/d2527_72_00011.png,8,630,6,10,10
hsf_4/f2527_72/d2527_72/d2527_72_00100.png,7,633,3,8,10
hsf_4/f2527_72/d2527_72/d2527_72_00124.png,3,636,0,1,6
hsf_4/f2527_72/d2527_72/d2527_72_00118.png,3,639,0,4,5
hsf_4/f2527_72/d2527_72/d2527_72_00005.png,5,641,5,3,3
hsf_4/f2527_72/d2527_72/d2527_72_00066.png,3,651,4,9,9
hsf_4/f2527_72/d2527_72/d2527_72_00095.png,5,660,0,0,2
hsf_4/f2527_72/d2527_72/d2527_72_00082.png,3,662,0,1,2
hsf_4/f2527_72/d2527_72/d2527_72_00020.png,3,664,0,1,1
hsf_4/f2527_72/d2527_72/d2527_72_00072.png,5,665,0,4,4
hsf_4/f2527_72/d2527_72/d2527_72_00073.png,5,667,2,9,10
hsf_4/f2527_72/d2527_72/d2527_72_00104.png,7,669,2,8,10
hsf_4/f2527_72/d2527_72/d2527_72_00043.png,3,689,0,5,9
hsf_4/f2527_72/d2527_72/d2527_72_00084.png,8,693,3,5,4
hsf_4/f2527_72/d2527_72/d2527_72_00123.png,8,699,6,7,10
hsf_4/f2479_65/d2479_65/d2479_65_00015.png,9,715,0,2,4
hsf_4/f2479_65/d2479_65/d2479_65_00082.png,3,723,0,1,0
hsf_4/f2479_65/d2479_65/d2479_65_00029.png,5,728,4,7,4
hsf_4/f2479_65/d2479_65/d2479_65_00084.png,5,731,1,0,0
hsf_4/f2479_65/d2479_65/d2479_65_00014.png,5,741,2,3,0
hsf_4/f2479_65/d2479_65/d2479_65_00107.png,5,742,0,1,1
hsf_4/f2479_65/d2479_65/d2479_65_00110.png,6,744,2,4,6
hsf_4/f2479_65/d2479_65/d2479_65_00080.png,3,761,0,3,4
hsf_4/f2479_65/d2479_65/d2479_65_00035.png,9,763,0,1,6
hsf_4/f2479_65/d2479_65/d2479_65_00123.png,6,771,0,3,2
hsf_4/f2479_65/d2479_65/d2479_65_00113.png,3,774,1,2,1
hsf_4/f2479_65/d2479_65/d2479_65_00037.png,3,791,0,5,6
hsf_4/f2479_65/d2479_65/d2479_65_00060.png,7,794,3,10,10
hsf_4/f2479_65/d2479_65/d2479_65_00095.png,5,815,1,0,0
hsf_4/f2479_65/d2479_65/d2479_65_00036.png,8,834,9,10,10
hsf_4/f2141_85/d2141_85/d2141_85_00074.png,2,848,2,0,0
hsf_4/f2141_85/d2141_85/d2141_85_00056.png,4,868,3,8,10
hsf_4/f2141_85/d2141_85/d2141_85_00019.png,8,871,8,10,10
hsf_4/f2141_85/d2141_85/d2141_85_00108.png,8,873,1,2,5
hsf_4/f2141_85/d2141_85/d2141_85_00062.png,8,893,0,3,5
hsf_4/f2141_85/d2141_85/d2141_85_00028.png,0,896,1,0,0
hsf_4/f2141_85/d2141_85/d2141_85_00094.png,0,898,5,2,0
hsf_4/f2141_85/d2141_85/d2141_85_00072.png,8,917,1,0,0
hsf_4/f2141_85/d2141_85/d2141_85_00025.png,2,918,0,0,1
hsf_4/f2141_85/d2141_85/d2141_85_00105.png,2,925,2,0,0
hsf_4/f2141_85/d2141_85/d2141_85_00077.png,8,927,2,3,6
hsf_4/f2141_85/d2141_85/d2141_85_00022.png,8,931,0,2,5
hsf_4/f2141_85/d2141_85/d2141_85_00118.png,2,939,1,0,0
hsf_4/f2141_85/d2141_85/d2141_85_00060.png,4,953,1,0,0
hsf_4/f2141_85/d2141_85/d2141_85_00018.png,8,956,1,0,1
hsf_4/f2350_98/d2350_98/d2350_98_00073.png,8,974,0,5,9
hsf_4/f2350_98/d2350_98/d2350_98_00045.png,7,980,0,4,10
hsf_4/f2350_98/d2350_98/d2350_98_00077.png,7,998,9,10,10
hsf_4/f2350_98/d2350_98/d2350_98_00080.png,7,1000,6,10,10
hsf_4/f2350_98/d2350_98/d2350_98_00082.png,7,1004,1,0,0
hsf_4/f2350_98/d2350_98/d2350_98_00015.png,5,1007,2,2,1
hsf_4/f2350_98/d2350_98/d2350_98_00079.png,6,1010,1,0,0
hsf_4/f2350_98/d2350_98/d2350_98_00065.png,8,1036,1,4,8
hsf_4/f2350_98/d2350_98/d2350_98_00054.png,7,1038,1,3,10
hsf_4/f2350_98/d2350_98/d2350_98_00041.png,2,1050,1,0,0
hsf_4/f2350_98/d2350_98/d2350_98_00033.png,7,1059,5,10,10
hsf_4/f2350_98/d2350_98/d2350_98_00051.png,5,1073,0,7,8
hsf_4/f2109_65/d2109_65/d2109_65_00025.png,3,1094,1,1,1
hsf_4/f2109_65/d2109_65/d2109_65_00076.png,2,1160,1,6,10
hsf_4/f2109_65/d2109_65/d2109_65_00088.png,4,1166,0,2,10
hsf_4/f2234_78/d2234_78/d2234_78_00022.png,8,1203,2,3,7
hsf_4/f2234_78/d2234_78/d2234_78_00042.png,7,1204,4,5,6
hsf_4/f2234_78/d2234_78/d2234_78_00112.png,1,1207,1,0,2
hsf_4/f2234_78/d2234_78/d2234_78_00075.png,2,1208,0,0,1
hsf_4/f2234_78/d2234_78/d2234_78_00013.png,1,1225,5,10,10
hsf_4/f2234_78/d2234_78/d2234_78_00065.png,8,1226,2,3,5
hsf_4/f2234_78/d2234_78/d2234_78_00020.png,7,1235,2,7,10
hsf_4/f2234_78/d2234_78/d2234_78_00021.png,7,1240,3,4,7
hsf_4/f2234_78/d2234_78/d2234_78_00061.png,7,1249,7,6,5
hsf_4/f2234_78/d2234_78/d2234_78_00033.png,3,1269,0,0,2
hsf_4/f2234_78/d2234_78/d2234_78_00007.png,3,1277,7,10,10
hsf_4/f2234_78/d2234_78/d2234_78_00071.png,1,1283,7,10,10
hsf_4/f2234_78/d2234_78/d2234_78_00015.png,1,1290,6,10,10
hsf_4/f2234_78/d2234_78/d2234_78_00001.png,1,1294,0,0,4
hsf_4/f2234_78/d2234_78/d2234_78_00087.png,1,1297,6,10,10
hsf_4/f2452_69/d2452_69/d2452_69_00037.png,5,1342,1,0,0
hsf_4/f2452_69/d2452_69/d2452_69_00068.png,8,1349,2,0,1
hsf_4/f2452_69/d2452_69/d2452_69_00054.png,9,1368,1,0,0
hsf_4/f2452_69/d2452_69/d2452_69_00071.png,8,1370,3,0,0
hsf_4/f2452_69/d2452_69/d2452_69_00017.png,9,1373,1,0,0
hsf_4/f2452_69/d2452_69/d2452_69_00014.png,6,1380,0,1,0
hsf_4/f2452_69/d2452_69/d2452_69_00082.png,8,1407,0,1,2
hsf_4/f2452_69/d2452_69/d2452_69_00101.png,3,1413,0,0,1
hsf_4/f2359_72/d2359_72/d2359_72_00015.png,3,1430,2,1,1
hsf_4/f2359_72/d2359_72/d2359_72_00068.png,3,1445,1,0,0
hsf_4/f2359_72/d2359_72/d2359_72_00106.png,7,1460,4,1,0
hsf_4/f2359_72/d2359_72/d2359_72_00077.png,3,1468,2,7,8
hsf_4/f2359_72/d2359_72/d2359_72_00050.png,2,1521,0,1,0
hsf_4/f2202_76/d2202_76/d2202_76_00059.png,7,1581,0,1,0
hsf_4/f2202_76/d2202_76/d2202_76_00067.png,7,1614,3,9,10
hsf_4/f2202_76/d2202_76/d2202_76_00032.png,3,1619,2,6,9
hsf_4/f2116_72/d2116_72/d2116_72_00004.png,5,1633,5,10,10
hsf_4/f2116_72/d2116_72/d2116_72_00007.png,5,1642,1,5,7
hsf_4/f2116_72/d2116_72/d2116_72_00098.png,5,1643,1,3,0
hsf_4/f2116_72/d2116_72/d2116_72_00063.png,5,1663,2,4,7
hsf_4/f2116_72/d2116_72/d2116_72_00044.png,5,1670,6,10,10
hsf_4/f2116_72/d2116_72/d2116_72_00053.png,2,1671,1,0,0
hsf_4/f2116_72/d2116_72/d2116_72_00032.png,4,1677,1,3,9
hsf_4/f2116_72/d2116_72/d2116_72_00005.png,9,1688,1,0,0
hsf_4/f2116_72/d2116_72/d2116_72_00083.png,5,1692,3,3,4
hsf_4/f2116_72/d2116_72/d2116_72_00076.png,2,1696,5,1,0
hsf_4/f2116_72/d2116_72/d2116_72_00018.png,9,1711,1,0,0
hsf_4/f2116_72/d2116_72/d2116_72_00121.png,5,1713,2,10,10
hsf_4/f2116_72/d2116_72/d2116_72_00038.png,2,1714,2,2,0
hsf_4/f2116_72/d2116_72/d2116_72_00106.png,2,1725,1,3,0
hsf_4/f2116_72/d2116_72/d2116_72_00033.png,5,1727,3,9,10
hsf_4/f2116_72/d2116_72/d2116_72_00071.png,5,1731,2,6,10
hsf_4/f2116_72/d2116_72/d2116_72_00104.png,8,1737,2,1,4
hsf_4/f2116_72/d2116_72/d2116_72_00088.png,2,1738,2,0,0
hsf_4/f2451_68/d2451_68/d2451_68_00028.png,5,1774,0,2,6
hsf_4/f2451_68/d2451_68/d2451_68_00043.png,8,1787,0,0,1
hsf_4/f2451_68/d2451_68/d2451_68_00037.png,2,1797,1,0,1
hsf_4/f2451_68/d2451_68/d2451_68_00026.png,4,1825,0,1,8
hsf_4/f2451_68/d2451_68/d2451_68_00066.png,5,1850,0,1,0
hsf_4/f2305_60/d2305_60/d2305_60_00020.png,1,1877,1,0,3
hsf_4/f2305_60/d2305_60/d2305_60_00098.png,9,1883,1,4,4
hsf_4/f2305_60/d2305_60/d2305_60_00104.png,9,1886,1,6,10
hsf_4/f2305_60/d2305_60/d2305_60_00073.png,9,1894,3,8,10
hsf_4/f2305_60/d2305_60/d2305_60_00007.png,4,1903,2,3,2
hsf_4/f2305_60/d2305_60/d2305_60_00042.png,2,1920,1,2,0
hsf_4/f2305_60/d2305_60/d2305_60_00072.png,6,1922,7,10,10
hsf_4/f2305_60/d2305_60/d2305_60_00095.png,1,1923,0,0,3
hsf_4/f2305_60/d2305_60/d2305_60_00090.png,4,1926,4,4,1
hsf_4/f2305_60/d2305_60/d2305_60_00075.png,5,1930,3,8,10
hsf_4/f2305_60/d2305_60/d2305_60_00064.png,4,1936,2,9,10
hsf_4/f2305_60/d2305_60/d2305_60_00063.png,3,1945,3,8,10
hsf_4/f2305_60/d2305_60/d2305_60_00025.png,1,1949,2,0,0
hsf_4/f2305_60/d2305_60/d2305_60_00036.png,4,1953,1,0,0
hsf_4/f2305_60/d2305_60/d2305_60_00034.png,6,1954,0,5,8
hsf_4/f2305_60/d2305_60/d2305_60_00121.png,9,1960,1,4,6
hsf_4/f2305_60/d2305_60/d2305_60_00070.png,9,1962,0,3,9
hsf_4/f2305_60/d2305_60/d2305_60_00047.png,4,1978,0,1,0
hsf_4/f2305_60/d2305_60/d2305_60_00028.png,4,1984,3,0,0
hsf_4/f2305_60/d2305_60/d2305_60_00029.png,9,1993,1,0,2
hsf_4/f2305_60/d2305_60/d2305_60_00119.png,9,2001,3,8,10
hsf_4/f2155_59/d2155_59/d2155_59_00039.png,5,2053,2,4,6
hsf_4/f2155_59/d2155_59/d2155_59_00015.png,3,2056,0,1,0
hsf_4/f2155_59/d2155_59/d2155_59_00101.png,2,2082,1,0,0
hsf_4/f2155_59/d2155_59/d2155_59_00037.png,3,2117,2,8,6
hsf_4/f2145_89/d2145_89/d2145_89_00063.png,9,2125,9,10,10
hsf_4/f2145_89/d2145_89/d2145_89_00048.png,8,2128,1,0,0
hsf_4/f2145_89/d2145_89/d2145_89_00031.png,6,2132,7,0,0
hsf_4/f2145_89/d2145_89/d2145_89_00045.png,5,2139,5,8,10
hsf_4/f2145_89/d2145_89/d2145_89_00087.png,7,2142,1,0,0
hsf_4/f2145_89/d2145_89/d2145_89_00079.png,9,2143,8,10,10
hsf_4/f2145_89/d2145_89/d2145_89_00023.png,8,2146,0,1,1
hsf_4/f2145_89/d2145_89/d2145_89_00051.png,2,2148,2,6,5
hsf_4/f2145_89/d2145_89/d2145_89_00027.png,1,2150,2,5,8
hsf_4/f2145_89/d2145_89/d2145_89_00042.png,4,2155,1,0,0
hsf_4/f2145_89/d2145_89/d2145_89_00056.png,4,2157,6,6,4
hsf_4/f2145_89/d2145_89/d2145_89_00076.png,8,2162,0,1,1
hsf_4/f2145_89/d2145_89/d2145_89_00012.png,1,2164,9,9,7
hsf_4/f2145_89/d2145_89/d2145_89_00033.png,8,2166,9,10,10
hsf_4/f2145_89/d2145_89/d2145_89_00015.png,9,2171,0,0,2
hsf_4/f2145_89/d2145_89/d2145_89_00019.png,4,2174,7,10,10
hsf_4/f2145_89/d2145_89/d2145_89_00007.png,7,2178,2,0,0
hsf_4/f2145_89/d2145_89/d2145_89_00089.png,9,2179,0,2,1
hsf_4/f2145_89/d2145_89/d2145_89_00024.png,9,2184,6,10,9
hsf_4/f2145_89/d2145_89/d2145_89_00010.png,2,2185,0,1,0
hsf_4/f2145_89/d2145_89/d2145_89_00011.png,9,2186,3,7,5
hsf_4/f2145_89/d2145_89/d2145_89_00004.png,2,2190,0,1,0
hsf_4/f2145_89/d2145_89/d2145_89_00043.png,8,2191,1,1,2
hsf_4/f2145_89/d2145_89/d2145_89_00047.png,9,2202,1,7,8
hsf_4/f2145_89/d2145_89/d2145_89_00052.png,5,2203,4,5,0
hsf_4/f2145_89/d2145_89/d2145_89_00086.png,9,2204,2,8,10
hsf_4/f2145_89/d2145_89/d2145_89_00014.png,2,2207,1,2,1
hsf_4/f2145_89/d2145_89/d2145_89_00050.png,9,2208,3,10,10
hsf_4/f2177_57/d2177_57/d2177_57_00029.png,4,2222,3,8,10
hsf_4/f2177_57/d2177_57/d2177_57_00008.png,0,2225,1,0,0
hsf_4/f2177_57/d2177_57/d2177_57_00018.png,9,2233,3,8,7
hsf_4/f2177_57/d2177_57/d2177_57_00045.png,9,2248,4,10,9
hsf_4/f2177_57/d2177_57/d2177_57_00061.png,3,2249,4,4,5
hsf_4/f2177_57/d2177_57/d2177_57_00072.png,9,2256,0,2,3
hsf_4/f2177_57/d2177_57/d2177_57_00024.png,3,2258,0,0,1
hsf_4/f2177_57/d2177_57/d2177_57_00046.png,0,2259,0,7,10
hsf_4/f2177_57/d2177_57/d2177_57_00065.png,7,2264,1,0,0
hsf_4/f2177_57/d2177_57/d2177_57_00071.png,0,2269,9,10,10
hsf_4/f2177_57/d2177_57/d2177_57_00026.png,4,2275,7,10,10
hsf_4/f2177_57/d2177_57/d2177_57_00042.png,6,2290,0,3,7
hsf_4/f2177_57/d2177_57/d2177_57_00073.png,6,2293,6,9,9
hsf_4/f2257_69/d2257_69/d2257_69_00063.png,6,2301,2,1,1
hsf_4/f2257_69/d2257_69/d2257_69_00024.png,6,2304,0,3,8
hsf_4/f2257_69/d2257_69/d2257_69_00006.png,4,2310,6,8,9
hsf_4/f2257_69/d2257_69/d2257_69_00022.png,7,2323,5,10,10
hsf_4/f2257_69/d2257_69/d2257_69_00095.png,8,2335,1,0,0
hsf_4/f2257_69/d2257_69/d2257_69_00073.png,7,2345,2,0,0
hsf_4/f2257_69/d2257_69/d2257_69_00058.png,7,2350,2,0,1
hsf_4/f2257_69/d2257_69/d2257_69_00047.png,6,2352,1,1,0
hsf_4/f2257_69/d2257_69/d2257_69_00061.png,3,2361,0,1,0
hsf_4/f2257_69/d2257_69/d2257_69_00074.png,7,2363,1,0,0
hsf_4/f2257_69/d2257_69/d2257_69_00030.png,5,2368,0,6,9
hsf_4/f2257_69/d2257_69/d2257_69_00044.png,8,2391,0,0,1
hsf_4/f2257_69/d2257_69/d2257_69_00060.png,3,2412,0,2,3
hsf_4/f2323_81/d2323_81/d2323_81_00039.png,2,2444,1,2,5
hsf_4/f2323_81/d2323_81/d2323_81_00080.png,8,2490,1,0,0
hsf_4/f2323_81/d2323_81/d2323_81_00120.png,9,2508,1,0,1
hsf_4/f2323_81/d2323_81/d2323_81_00049.png,9,2521,8,10,8
hsf_4/f2323_81/d2323_81/d2323_81_00057.png,2,2523,1,1,2
hsf_4/f2334_99/d2334_99/d2334_99_00079.png,5,2546,2,7,9
hsf_4/f2334_99/d2334_99/d2334_99_00010.png,5,2550,1,0,0
hsf_4/f2334_99/d2334_99/d2334_99_00024.png,4,2551,1,0,0
hsf_4/f2334_99/d2334_99/d2334_99_00048.png,8,2557,1,0,0
hsf_4/f2334_99/d2334_99/d2334_99_00101.png,8,2571,8,10,10
hsf_4/f2334_99/d2334_99/d2334_99_00082.png,4,2575,2,1,2
hsf_4/f2334_99/d2334_99/d2334_99_00018.png,9,2576,1,7,8
hsf_4/f2334_99/d2334_99/d2334_99_00040.png,9,2578,0,2,7
hsf_4/f2334_99/d2334_99/d2334_99_00100.png,9,2599,9,10,10
hsf_4/f2334_99/d2334_99/d2334_99_00106.png,5,2611,1,0,0
hsf_4/f2334_99/d2334_99/d2334_99_00076.png,6,2617,1,0,0
hsf_4/f2334_99/d2334_99/d2334_99_00049.png,4,2622,7,8,10
hsf_4/f2334_99/d2334_99/d2334_99_00009.png,7,2623,2,0,0
hsf_4/f2334_99/d2334_99/d2334_99_00093.png,8,2633,1,0,0
hsf_4/f2312_87/d2312_87/d2312_87_00039.png,4,2654,4,0,0
hsf_4/f2312_87/d2312_87/d2312_87_00020.png,9,2659,1,6,8
hsf_4/f2312_87/d2312_87/d2312_87_00029.png,4,2660,3,5,3
hsf_4/f2312_87/d2312_87/d2312_87_00092.png,6,2665,0,7,10
hsf_4/f2312_87/d2312_87/d2312_87_00043.png,9,2669,9,10,10
hsf_4/f2312_87/d2312_87/d2312_87_00096.png,2,2672,1,0,0
hsf_4/f2312_87/d2312_87/d2312_87_00017.png,2,2676,2,7,10
hsf_4/f2312_87/d2312_87/d2312_87_00073.png,3,2681,0,1,7
hsf_4/f2312_87/d2312_87/d2312_87_00072.png,3,2683,0,0,5
hsf_4/f2312_87/d2312_87/d2312_87_00058.png,4,2688,3,2,1
hsf_4/f2312_87/d2312_87/d2312_87_00075.png,9,2689,0,2,1
hsf_4/f2312_87/d2312_87/d2312_87_00046.png,8,2690,4,10,10
hsf_4/f2312_87/d2312_87/d2312_87_00097.png,8,2696,0,2,3
hsf_4/f2312_87/d2312_87/d2312_87_00062.png,9,2697,1,4,8
hsf_4/f2312_87/d2312_87/d2312_87_00110.png,9,2702,1,7,9
hsf_4/f2312_87/d2312_87/d2312_87_00054.png,8,2708,5,1,0
hsf_4/f2312_87/d2312_87/d2312_87_00105.png,6,2711,1,0,0
hsf_4/f2312_87/d2312_87/d2312_87_00045.png,3,2714,9,10,10
hsf_4/f2312_87/d2312_87/d2312_87_00052.png,0,2723,2,2,3
hsf_4/f2312_87/d2312_87/d2312_87_00033.png,8,2728,6,9,10
hsf_4/f2312_87/d2312_87/d2312_87_00061.png,4,2729,4,0,0
hsf_4/f2312_87/d2312_87/d2312_87_00108.png,2,2730,2,1,1
hsf_4/f2312_87/d2312_87/d2312_87_00008.png,3,2747,1,0,0
hsf_4/f2312_87/d2312_87/d2312_87_00035.png,2,2750,6,10,10
hsf_4/f2312_87/d2312_87/d2312_87_00068.png,9,2763,1,0,0
hsf_4/f2318_78/d2318_78/d2318_78_00056.png,8,2829,3,0,0
hsf_4/f2470_80/d2470_80/d2470_80_00082.png,1,2883,5,10,10
hsf_4/f2470_80/d2470_80/d2470_80_00022.png,8,2884,2,8,10
hsf_4/f2470_80/d2470_80/d2470_80_00110.png,1,2885,0,4,9
hsf_4/f2470_80/d2470_80/d2470_80_00068.png,4,2903,4,10,9
hsf_4/f2470_80/d2470_80/d2470_80_00108.png,8,2910,9,10,10
hsf_4/f2470_80/d2470_80/d2470_80_00117.png,2,2916,7,10,10
hsf_4/f2470_80/d2470_80/d2470_80_00018.png,8,2917,1,0,0
hsf_4/f2470_80/d2470_80/d2470_80_00121.png,8,2920,7,10,10
hsf_4/f2470_80/d2470_80/d2470_80_00062.png,1,2921,1,1,8
hsf_4/f2470_80/d2470_80/d2470_80_00001.png,1,2929,0,0,4
hsf_4/f2470_80/d2470_80/d2470_80_00073.png,4,2940,5,6,7
hsf_4/f2470_80/d2470_80/d2470_80_00051.png,4,2948,5,1,1
hsf_4/f2470_80/d2470_80/d2470_80_00084.png,8,2955,3,6,10
hsf_4/f2470_80/d2470_80/d2470_80_00013.png,1,2961,1,2,10
hsf_4/f2470_80/d2470_80/d2470_80_00116.png,8,2964,7,9,10
hsf_4/f2470_80/d2470_80/d2470_80_00008.png,2,2965,0,1,1
hsf_4/f2470_80/d2470_80/d2470_80_00081.png,8,2966,5,10,10
hsf_4/f2470_80/d2470_80/d2470_80_00033.png,8,2968,7,10,10
hsf_4/f2470_80/d2470_80/d2470_80_00071.png,1,2975,3,3,10
hsf_4/f2470_80/d2470_80/d2470_80_00096.png,5,2976,0,1,3
hsf_4/f2470_80/d2470_80/d2470_80_00088.png,8,2989,6,10,10
hsf_4/f2470_80/d2470_80/d2470_80_00044.png,1,2994,0,0,3
hsf_4/f2470_80/d2470_80/d2470_80_00040.png,4,3005,1,0,0
hsf_4/f2333_98/d2333_98/d2333_98_00113.png,8,3017,5,10,10
hsf_4/f2333_98/d2333_98/d2333_98_00103.png,8,3019,6,2,4
hsf_4/f2333_98/d2333_98/d2333_98_00029.png,3,3020,1,0,0
hsf_4/f2333_98/d2333_98/d2333_98_00107.png,2,3027,5,10,10
hsf_4/f2333_98/d2333_98/d2333_98_00099.png,8,3048,0,1,3
hsf_4/f2333_98/d2333_98/d2333_98_00047.png,2,3049,2,5,5
hsf_4/f2333_98/d2333_98/d2333_98_00049.png,2,3050,1,1,0
hsf_4/f2333_98/d2333_98/d2333_98_00067.png,8,3064,0,6,9
hsf_4/f2333_98/d2333_98/d2333_98_00005.png,3,3067,1,0,2
hsf_4/f2333_98/d2333_98/d2333_98_00081.png,8,3068,5,10,10
hsf_4/f2333_98/d2333_98/d2333_98_00043.png,8,3076,6,8,10
hsf_4/f2333_98/d2333_98/d2333_98_00020.png,8,3080,9,10,10
hsf_4/f2333_98/d2333_98/d2333_98_00074.png,8,3084,9,10,10
hsf_4/f2333_98/d2333_98/d2333_98_00069.png,2,3086,0,3,6
hsf_4/f2333_98/d2333_98/d2333_98_00070.png,2,3097,5,8,10
hsf_4/f2333_98/d2333_98/d2333_98_00036.png,6,3104,1,0,0
hsf_4/f2333_98/d2333_98/d2333_98_00025.png,8,3105,2,6,9
hsf_4/f2333_98/d2333_98/d2333_98_00013.png,2,3106,3,3,8
hsf_4/f2333_98/d2333_98/d2333_98_00010.png,8,3109,1,2,5
hsf_4/f2333_98/d2333_98/d2333_98_00011.png,2,3118,2,4,4
hsf_4/f2333_98/d2333_98/d2333_98_00045.png,6,3125,4,0,0
hsf_4/f2333_98/d2333_98/d2333_98_00102.png,3,3127,1,0,0
hsf_4/f2447_93/d2447_93/d2447_93_00078.png,4,3163,1,0,0
hsf_4/f2447_93/d2447_93/d2447_93_00094.png,6,3166,3,6,9
hsf_4/f2447_93/d2447_93/d2447_93_00028.png,4,3183,0,4,8
hsf_4/f2447_93/d2447_93/d2447_93_00071.png,6,3224,2,3,6
hsf_4/f2447_93/d2447_93/d2447_93_00098.png,6,3237,0,0,1
hsf_4/f2120_61/d2120_61/d2120_61_00073.png,5,3273,3,6,6
hsf_4/f2120_61/d2120_61/d2120_61_00078.png,4,3284,1,2,2
hsf_4/f2120_61/d2120_61/d2120_61_00074.png,5,3304,3,2,6
hsf_4/f2120_61/d2120_61/d2120_61_00065.png,6,3313,3,7,10
hsf_4/f2120_61/d2120_61/d2120_61_00048.png,3,3320,2,2,1
hsf_4/f2120_61/d2120_61/d2120_61_00050.png,5,3338,2,3,4
hsf_4/f2104_50/d2104_50/d2104_50_00003.png,2,3363,1,0,0
hsf_4/f2382_52/d2382_52/d2382_52_00091.png,7,3488,0,1,0
hsf_4/f2382_52/d2382_52/d2382_52_00121.png,5,3499,1,1,1
hsf_4/f2382_52/d2382_52/d2382_52_00096.png,4,3530,1,0,0
hsf_4/f2382_52/d2382_52/d2382_52_00107.png,5,3537,1,1,0
hsf_4/f2382_52/d2382_52/d2382_52_00109.png,5,3551,1,0,0
hsf_4/f2382_52/d2382_52/d2382_52_00022.png,7,3554,2,7,10
hsf_4/f2382_52/d2382_52/d2382_52_00019.png,5,3558,4,4,8
hsf_4/f2382_52/d2382_52/d2382_52_00101.png,4,3564,1,0,0
hsf_4/f2382_52/d2382_52/d2382_52_00007.png,5,3581,0,1,0
hsf_4/f2466_76/d2466_76/d2466_76_00010.png,2,3638,7,9,10
hsf_4/f2466_76/d2466_76/d2466_76_00032.png,9,3678,5,10,10
hsf_4/f2466_76/d2466_76/d2466_76_00107.png,9,3690,0,0,2
